"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 25 22:53:53 GMT 2022","Sun Dec 25 22:54:24 GMT 2022","30332","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
"passed","Sun Dec 25 22:53:51 GMT 2022","Sun Dec 25 22:53:53 GMT 2022","1611","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"passed","Sun Dec 25 22:53:46 GMT 2022","Sun Dec 25 22:53:47 GMT 2022","814","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"passed","Sun Dec 25 22:54:24 GMT 2022","Sun Dec 25 22:54:27 GMT 2022","3478","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"failed","Sun Dec 25 22:53:48 GMT 2022","Sun Dec 25 22:53:51 GMT 2022","3032","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
