"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 22:31:57 GMT 2022","Sun Dec 25 22:31:59 GMT 2022","1554","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"passed","Sun Dec 25 22:31:51 GMT 2022","Sun Dec 25 22:31:52 GMT 2022","1189","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"passed","Sun Dec 25 22:32:30 GMT 2022","Sun Dec 25 22:32:33 GMT 2022","3094","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"broken","Sun Dec 25 22:31:59 GMT 2022","Sun Dec 25 22:32:30 GMT 2022","30190","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
"failed","Sun Dec 25 22:31:53 GMT 2022","Sun Dec 25 22:31:57 GMT 2022","4074","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
