"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 22:59:19 GMT 2022","Sun Dec 25 22:59:21 GMT 2022","1358","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"passed","Sun Dec 25 22:59:52 GMT 2022","Sun Dec 25 23:00:26 GMT 2022","34455","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"passed","Sun Dec 25 22:59:13 GMT 2022","Sun Dec 25 22:59:14 GMT 2022","1296","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"failed","Sun Dec 25 22:59:14 GMT 2022","Sun Dec 25 22:59:19 GMT 2022","4398","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"broken","Sun Dec 25 22:59:21 GMT 2022","Sun Dec 25 22:59:51 GMT 2022","30221","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
