"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 25 22:26:23 GMT 2022","Sun Dec 25 22:26:26 GMT 2022","2532","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"passed","Sun Dec 25 22:26:58 GMT 2022","Sun Dec 25 22:27:01 GMT 2022","2943","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"passed","Sun Dec 25 22:26:22 GMT 2022","Sun Dec 25 22:26:23 GMT 2022","393","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"passed","Sun Dec 25 22:26:26 GMT 2022","Sun Dec 25 22:26:27 GMT 2022","1109","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"broken","Sun Dec 25 22:26:28 GMT 2022","Sun Dec 25 22:26:58 GMT 2022","30276","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
