"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 23:17:29 GMT 2022","Sun Dec 25 23:17:30 GMT 2022","1072","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"passed","Sun Dec 25 23:17:25 GMT 2022","Sun Dec 25 23:17:25 GMT 2022","415","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"passed","Sun Dec 25 23:18:01 GMT 2022","Sun Dec 25 23:18:04 GMT 2022","3117","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"failed","Sun Dec 25 23:17:26 GMT 2022","Sun Dec 25 23:17:28 GMT 2022","2678","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"broken","Sun Dec 25 23:17:30 GMT 2022","Sun Dec 25 23:18:01 GMT 2022","30303","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
