"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 26 01:51:59 GMT 2022","Mon Dec 26 01:52:03 GMT 2022","4036","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"failed","Mon Dec 26 01:52:44 GMT 2022","Mon Dec 26 01:52:47 GMT 2022","3416","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","verifyUserDirectionAfterClickingOnLink","Verify the user is redirected to the w3school page when clicking on the link",""
"passed","Mon Dec 26 01:51:56 GMT 2022","Mon Dec 26 01:51:57 GMT 2022","966","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Verify the Authenticated user pop-ups",""
"broken","Mon Dec 26 01:52:11 GMT 2022","Mon Dec 26 01:52:41 GMT 2022","30869","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","verifyUserCanSelectProduct","Verify the user can select product from drop-down menu",""
"passed","Mon Dec 26 01:52:06 GMT 2022","Mon Dec 26 01:52:08 GMT 2022","1709","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Verify The Age Tooltip is shown correctly",""
