"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 26 01:55:16 GMT 2022","Mon Dec 26 01:55:17 GMT 2022","627","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Verify the Authenticated user pop-ups",""
"passed","Mon Dec 26 01:56:04 GMT 2022","Mon Dec 26 01:56:06 GMT 2022","2698","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","verifyUserDirectionAfterClickingOnLink","Verify the user is redirected to the w3school page when clicking on the link",""
"passed","Mon Dec 26 01:55:26 GMT 2022","Mon Dec 26 01:55:28 GMT 2022","1848","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Verify The Age Tooltip is shown correctly",""
"passed","Mon Dec 26 01:55:19 GMT 2022","Mon Dec 26 01:55:23 GMT 2022","3717","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"broken","Mon Dec 26 01:55:30 GMT 2022","Mon Dec 26 01:56:01 GMT 2022","30792","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","verifyUserCanSelectProduct","Verify the user can select product from drop-down menu",""
