"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 22:37:49 GMT 2022","Sun Dec 25 22:37:50 GMT 2022","948","Surefire suite","Surefire test","tests.HeroKuAppTest","tests.HeroKuAppTest","handleAuthenticatedPopUps","Handle Authenticated pop-ups",""
"passed","Sun Dec 25 22:38:27 GMT 2022","Sun Dec 25 22:38:30 GMT 2022","2999","Surefire suite","Surefire test","tests.GoogleSearchTest","tests.GoogleSearchTest","AutoSuggestDropdown","Auto Suggest Dropdown From Google Search",""
"failed","Sun Dec 25 22:37:50 GMT 2022","Sun Dec 25 22:37:54 GMT 2022","3884","Surefire suite","Surefire test","tests.TwoPlugsTest","tests.TwoPlugsTest","handleAutoCompleteGooglePlaces","Handle Auto Complete Google Places",""
"passed","Sun Dec 25 22:37:54 GMT 2022","Sun Dec 25 22:37:56 GMT 2022","1503","Surefire suite","Surefire test","tests.ToolTipTest","tests.ToolTipTest","captureTheAgeTooltip","Capture The Age Tooltip",""
"broken","Sun Dec 25 22:37:56 GMT 2022","Sun Dec 25 22:38:27 GMT 2022","30418","Surefire suite","Surefire test","tests.HdfcBankTest","tests.HdfcBankTest","bootstrapDropdownWithDynamicSelection","BootstrapDropdown with dynamic selection",""
